Gene	Binding target
Dnajc13	Protein
Ccng1	Protein
Stk33	Protein
Ankrd49	Protein
Cnn3	Protein
Ifna9	Protein
Lifr	Protein
C7	Protein
Sgk3	Protein
Med4	Nucleic acid
Zfp558	Nucleic acid
Mki67ip	Nucleic acid
Onecut2	Nucleic acid
Zfp72	Nucleic acid
Gm9805	Nucleic acid
Mynn	Nucleic acid
Zfp518	Nucleic acid
Emb	Nucleic acid
Zfp759	Nucleic acid
Sfrs3	Nucleic acid
Mki67ip	Nucleic acid
Caps2	Calcium ion
Sgk3	Calcium ion
